beta,alpha,rmse_I,rmse_Inc,rmse_Beta,r2,r2_Inc,r2_full,r2_Inc_full,time_predict,fraq_people,actual_peak_I,predicted_peak_I,actual_peak_Inc,predicted_peak_inc,actual_peak_day,predicted_peak_day,actual_peak_day_Inc,predicted_peak_day_inc
0.11,0.8200000000000005,3980.676600518644,980.729856832825,5.362826296299362e-06,-18293217.7899286,-31771450.52688172,-5256557.536922492,-31730507.934707902,0.0014469623565673,4,10,12927.0,1.0,2813.0,1,99,10,97
0.11,0.8400000000000005,4751.794222536718,1116.6082758365471,5.165340127321883e-06,-6175785.242469208,-4036050.355110643,-4603079.503705591,-3975228.093324477,0.001394510269165,4,10,13390.0,2.0,2894.0,1,97,5,94
0.11,0.8900000000000006,5859.245683461879,1312.8308670261629,5.433325759360828e-06,-34465389.410457514,-29414823.71111111,-11850536.406062352,-25416034.17665131,0.0019974708557128,4,10,14917.0,1.0,3245.0,1,93,4,90
0.11,0.9100000000000006,5745.997413961305,1343.7873328147327,5.341605287811477e-06,-19239957.113689534,-18573575.642857134,-10753095.359750308,-18520659.47008548,0.0029993057250976,4,10,16162.0,2.0,3545.0,1,96,13,93
0.11,0.9600000000000006,6943.649474219831,1534.182148437184,5.375791057465519e-06,-254929829.2237521,0.0,-26334601.469276283,0.0,0.0019991397857666,4,10,17648.0,0.0,3878.0,1,92,1,89
0.11,0.9700000000000006,6906.653474639509,1559.4995357752864,5.375791057465519e-06,-277538106.45454544,0.0,-27462540.367316328,0.0,0.0019996166229248,4,10,18304.0,0.0,4046.0,1,94,1,90
0.12,0.2700000000000001,0.5,0.1020620726159657,5.375791057465519e-06,0.8273251892378026,0.4893617021276596,0.9401122894572675,0.4897959183673466,0.0020077228546142,4,10,6.0,1.0,1.0,1,4,5,4
0.12,0.2800000000000001,0.3227486121839514,0.0,5.375791057465519e-06,0.5158850226928895,1.0,0.9371227364185112,1.0,0.001000165939331,4,10,2.0,0.0,0.0,1,4,1,4
0.12,0.2900000000000001,0.1020620726159657,0.0,5.375791057465519e-06,0.9687398241615108,1.0,0.9965635738831616,1.0,0.0020027160644531,4,10,4.0,0.0,0.0,1,4,1,4
0.12,0.3200000000000001,0.7971302695712079,0.2886751345948128,7.582480901135486e-06,0.312595375044019,0.0191570881226054,0.7211556043152313,0.0231990231990237,0.0019998550415039,4,10,4.0,1.0,1.0,1,4,5,4
0.12,0.36000000000000015,0.6535161308899218,0.1020620726159657,5.375791057465519e-06,0.5649386536973584,-0.0105263157894739,0.8652158190604556,-0.0101010101010103,0.0019996166229248,4,10,5.0,1.0,0.0,1,4,6,4
0.12,0.37000000000000016,1.1547005383792517,0.25,5.397124799744409e-06,0.1312217194570143,-0.0285714285714282,0.6623047699451245,-0.0273972602739729,0.0019998550415039,4,10,6.0,2.0,0.0,1,4,7,4
0.12,0.38000000000000017,0.7637626158259734,0.0,5.375791057465519e-06,0.1144786690825233,1.0,0.8385422673278746,1.0,0.003000259399414,4,10,5.0,1.0,0.0,1,4,4,4
0.12,0.3900000000000002,1.928406077567689,0.3535533905932738,5.571688364462379e-06,-0.3697841726618704,-0.2857142857142856,0.3288969095420708,-0.2820512820512824,0.0020074844360351,4,10,8.0,2.0,1.0,1,4,14,4
0.12,0.4100000000000002,2.888555002072836,0.5204164998665332,5.8156078421736775e-06,-3.4751207588896,-1.56,-1.184049079754601,-1.3636363636363642,0.0021700859069824,4,10,7.0,2.0,1.0,1,97,9,4
0.12,0.4300000000000002,2.817356917396161,0.4677071733467426,5.3971649250221765e-06,-9.84858371644668,-9.723404255319148,-1.9706444193208843,-6.216494845360822,0.0019986629486083,4,10,8.0,1.0,2.0,1,98,3,99
0.12,0.4400000000000002,3.4806010017428504,0.6123724356957945,5.376235687701217e-06,-12.929881472239554,-35.37894736842106,-3.2602293124290247,-35.363636363636374,0.001997947692871,4,10,10.0,1.0,2.0,1,98,8,95
0.12,0.45000000000000023,4.567776629097939,0.9013878188659972,5.946392892008196e-06,-44.88117394416607,-25.83870967741936,-7.291935750952144,-25.8041237113402,0.0020036697387695,4,10,14.0,1.0,3.0,1,99,12,97
0.12,0.48000000000000026,10.87667611604452,2.453738644055909,5.369565225415359e-06,-62.09444444444444,-583.0842105263159,-26.97290640394089,-293.89795918367366,0.0019958019256591,4,10,36.0,1.0,9.0,1,99,4,99
0.12,0.5600000000000003,55.29362907846316,14.378079380315947,5.375791057465519e-06,-5590.757094661637,-20053.9052631579,-1116.0656517602283,-20045.46464646465,0.0019996166229248,4,10,212.0,1.0,57.0,1,99,11,99
0.12,0.5800000000000003,66.00986353063709,17.51160329610056,5.558823586557664e-06,-4373.38954248366,-6210.305494505491,-1555.4109242446796,-5218.68085106383,0.0019998550415039,4,10,261.0,1.0,71.0,1,99,4,99
0.12,0.5900000000000003,122.75216393204644,32.82132817747224,5.934564690535578e-06,-19615.83175589772,-21818.428571428565,-4965.821178409561,-15884.560675883256,0.0019993782043457,4,10,488.0,1.0,133.0,1,99,2,99
0.12,0.6800000000000004,467.8365210377089,131.20681829335953,5.500382091268092e-06,-224747.215264624,-293805.5777777778,-85957.1778759614,-293024.1773049645,0.0029985904693603,4,10,2006.0,1.0,566.0,1,99,5,99
0.12,0.7000000000000004,1171.1783907316028,318.7271233620802,5.362985036691485e-06,-793695.7233000565,-2057637.6813186803,-329658.6409973964,-2053125.3157894744,0.0020003318786621,4,10,4767.0,1.0,1280.0,1,99,10,99
0.12,0.7600000000000005,2207.337210871959,587.9552757225672,5.363833917077865e-06,-4167373.75415313,-3704524.581395349,-1636670.702998705,-3389822.799795709,0.0020174980163574,4,10,8620.0,1.0,2193.0,1,99,4,99
0.12,0.7700000000000005,2692.8496503858755,698.9398072557226,5.401267528458008e-06,-2721060.239087947,-6395128.727272729,-1568019.017569151,-5726203.884004884,0.001997947692871,4,10,9965.0,1.0,2418.0,1,99,4,99
0.12,0.8100000000000005,3674.531326407492,918.9313426475344,5.301701287388041e-06,-5151352.502235469,-5419435.791086349,-2652089.6905370844,-5133991.526915767,0.0030004978179931,4,10,12428.0,2.0,2767.0,1,99,15,99
0.12,0.8700000000000006,4956.81343581741,1187.2607873097356,5.454281378208877e-06,-14471598.336358411,-10220899.582218727,-6792764.654878468,-10166825.821938394,0.0020031929016113,4,10,14750.0,2.0,3211.0,1,98,46,95
0.12,0.8800000000000006,5245.852925565743,1238.193416837612,5.375647375078898e-06,-67164949.8474576,-148729062.07368425,-13759485.458333338,-75091734.71428576,0.0018057823181152,4,10,15021.0,1.0,3272.0,1,97,4,94
