beta,alpha,rmse_I,rmse_Inc,rmse_Beta,r2,r2_Inc,r2_full,r2_Inc_full,time_predict,fraq_people,actual_peak_I,predicted_peak_I,actual_peak_Inc,predicted_peak_inc,actual_peak_day,predicted_peak_day,actual_peak_day_Inc,predicted_peak_day_inc
0.12,0.9300000000000006,1375.5125683109534,307.3871507807642,3.986606100878565e-06,0.9210938369858708,0.9182735239938749,0.9248573344602048,0.920765805425856,0.0,14,13926,17350.0,3125.0,3830.0,29,29,26,26
0.12,0.9900000000000007,2191.340803362981,558.6956158847062,8.793330047785924e-06,0.9114291348254784,0.8900343385572658,0.9133848040120548,0.8915561052644078,0.0156280994415283,9,22816,30733.0,5652.0,7615.0,21,20,17,17
0.13,0.2,65.50397570631368,13.758330809610106,6.753101593616689e-06,-1.3135031141870126,-1.4457741463332572,-1.2360290255907778,-0.7085065234825625,0.0,4,153,144.0,48.0,41.0,10,8,4,5
0.13,0.25000000000000006,136.3835736687768,27.893024815056062,7.025487593001423e-06,-5.2190625412223,-4.698499842640835,-5.07645760359275,-3.482805807901358,0.0,4,174,185.0,53.0,54.0,9,16,6,5
0.13,0.2700000000000001,9.032925882569833,2.184223737013526,2.753131423052516e-06,0.9372470948215884,0.9341834832996276,0.9401292529402628,0.954539814883744,0.0156223773956298,4,138,144.0,52.0,48.0,8,6,6,5
0.13,0.2800000000000001,43.82861983529332,8.763085453575508,8.276208738386483e-06,-1.3588608633051162,-0.7687316931751158,-1.2818342675427203,-0.2963102985628396,0.0,4,107,108.0,36.0,36.0,9,8,5,4
0.13,0.3100000000000001,1419.9032060613615,288.1405906844782,1.1140711245892958e-05,-928.154030286028,-851.0884652219423,-909.3054692965696,-668.6599608810501,0.0,4,160,2470.0,44.0,510.0,10,56,7,52
0.13,0.3200000000000001,166.8239778429148,34.08598196717628,6.128886967339951e-06,-13.186739826650664,-10.088390049116516,-12.781877746107112,-6.899716981933868,0.0,4,151,197.0,59.0,51.0,10,39,4,5
0.13,0.34000000000000014,1330.2093193679457,269.5109962196966,9.097870145819249e-06,-284.99742202151754,-219.43085725726155,-281.5321554242193,-188.3763762437116,0.0,4,250,2166.0,83.0,443.0,14,55,6,51
0.13,0.37000000000000016,1836.6751947019195,373.4748011356768,9.513832544489947e-06,-1445.953609472876,-1092.0583628604154,-1437.039986458154,-1016.199103615922,0.0,4,160,3331.0,48.0,691.0,11,56,6,52
0.13,0.3900000000000002,1693.007589444497,343.3387691721788,7.831834078185096e-06,-634.7498232443015,-502.7449475781528,-628.9807705956559,-446.6824731468647,0.015622854232788,4,224,2889.0,65.0,595.0,12,58,8,54
